,learning_rewards,learning_steps,learning_discounted_rewards,learning_success,learning_collision,learning_fell_into_cliff
226,-123.0,24.0,-4.681219705992893,0.0,0.5,1.0
227,-105.0,6.0,-55.81305094608767,0.0,0.0,1.0
228,-115.0,16.0,-26.47260011809465,0.0,2.5,1.0
229,-105.0,6.0,-38.977587774244085,0.0,0.0,1.0
230,-112.5,13.5,-41.417546443073384,0.0,1.5,1.0
231,-100.5,1.5,-89.1228,0.0,0.5,1.0
232,-70.5,21.0,-7.186752430937391,0.0,2.5,0.5
233,-65.5,16.0,-41.319226349326286,0.0,4.5,0.5
234,-74.0,24.5,-4.8521345694366325,0.0,1.5,0.5
235,-100.0,1.0,-100.0,0.0,0.0,1.0
236,-68.0,18.5,-14.54913801488197,0.0,1.0,0.5
237,-30.0,30.0,-4.392852698652579,0.0,5.5,0.0
238,-108.0,9.0,-18.165762611643355,0.0,2.0,1.0
239,-102.0,3.0,-69.21687454715979,0.0,1.0,1.0
240,-100.5,1.5,-89.1228,0.0,0.5,1.0
241,-112.0,13.0,-26.638972972859946,0.0,1.0,1.0
242,-77.5,28.0,-4.469017007756982,0.0,2.5,0.5
243,-67.0,17.5,-21.413300896486085,0.0,2.5,0.5
244,-112.5,13.5,-33.044070300924744,0.0,5.5,1.0
245,-120.0,21.0,-5.01626817967405,0.0,3.5,1.0
246,-102.5,3.5,-65.34419004520086,0.0,0.5,1.0
247,-75.0,25.5,-4.667284297950159,0.0,6.5,0.5
248,-100.0,1.0,-100.0,0.0,0.0,1.0
249,-67.0,17.5,-21.413300896486085,0.0,2.0,0.5
250,-74.5,25.0,-4.7478440981998435,0.0,3.5,0.5
251,-109.5,10.5,-16.21660871158936,0.0,0.5,1.0
252,-102.0,3.0,-63.35314392529774,0.0,1.0,1.0
253,-100.5,1.5,-89.1228,0.0,0.5,1.0
254,-112.5,13.5,-33.044070300924744,0.0,5.0,1.0
255,-119.5,20.5,-5.064337267672543,0.0,3.5,1.0
256,-109.0,10.0,-52.65570822011034,0.0,1.5,1.0
257,-103.0,4.0,-49.9375161439598,0.0,1.0,1.0
258,-113.0,14.0,-26.55377262942249,0.0,2.0,1.0
259,-106.0,7.0,-25.386116287529344,0.0,2.0,1.0
260,-103.0,4.0,-62.35271166555568,0.0,1.5,1.0
261,-102.0,3.0,-69.21687454715979,0.0,0.5,1.0
262,-66.0,16.5,-32.91706794612629,0.0,4.0,0.5
263,-101.5,2.5,-74.23034392529775,0.0,0.5,1.0
264,-73.5,24.0,-4.987146105675315,0.0,2.0,0.5
265,-66.0,16.5,-32.91706794612629,0.0,2.0,0.5
266,-66.5,17.0,-26.426770274624033,0.0,4.0,0.5
267,-109.0,10.0,-52.65570822011034,0.0,0.0,1.0
268,-110.5,11.5,-41.59365794862387,0.0,2.0,1.0
269,-110.0,11.0,-15.83740212214667,0.0,1.0,1.0
270,-102.0,3.0,-69.21687454715979,0.0,0.0,1.0
271,-66.0,16.5,-32.91706794612629,0.0,1.5,0.5
272,-67.5,18.0,-17.540616394527156,0.0,2.0,0.5
273,-110.5,11.5,-52.4086290475622,0.0,1.5,1.0
274,-113.0,14.0,-41.39539065843069,0.0,0.5,1.0
275,-103.0,4.0,-62.35271166555568,0.0,1.0,1.0
276,-65.0,15.5,-52.19642634932629,0.0,0.0,0.5
277,-66.5,17.0,-26.426770274624033,0.0,2.5,0.5
278,-102.5,3.5,-65.34419004520086,0.0,1.5,1.0
279,-103.0,4.0,-49.9375161439598,0.0,0.5,1.0
280,-101.5,2.5,-69.8434415968,0.0,1.5,1.0
281,-68.0,18.5,-14.54913801488197,0.0,4.0,0.5
282,-100.5,1.5,-89.1228,0.0,0.5,1.0
283,-106.0,7.0,-24.705423331111362,0.0,1.0,1.0
284,-68.0,18.5,-14.54913801488197,0.0,1.5,0.5
285,-65.5,16.0,-41.319226349326286,0.0,2.0,0.5
286,-66.0,16.5,-32.91706794612629,0.0,3.5,0.5
287,-104.5,5.5,-36.58305559085343,0.0,0.5,1.0
288,-102.5,3.5,-54.950985522097746,0.0,1.5,1.0
289,-67.5,18.0,-17.540616394527156,0.0,2.5,0.5
290,-103.5,4.5,-51.47551166555568,0.0,0.5,1.0
291,-109.5,10.5,-22.408644598496245,0.0,1.0,1.0
292,-112.0,13.0,-15.008419885666024,0.0,1.5,1.0
293,-114.5,15.5,-10.66557522500629,0.0,3.0,1.0
294,-30.0,30.0,-4.392852698652579,0.0,5.0,0.0
295,-70.5,21.0,-7.186752430937391,0.0,3.0,0.5
296,-69.0,19.5,-10.453372526770378,0.0,1.5,0.5
297,-102.5,3.5,-65.34419004520086,0.0,1.5,1.0
298,-65.5,16.0,-41.319226349326286,0.0,3.0,0.5
299,-104.0,5.0,-39.57453397049861,0.0,1.5,1.0
300,-109.5,10.5,-13.24727225905519,0.0,1.5,1.0
301,-65.0,15.5,-52.19642634932629,0.0,3.0,0.5
302,-65.0,15.5,-52.19642634932629,0.0,3.0,0.5
303,-107.0,8.0,-22.222317661644617,0.0,0.5,1.0
